mic;symbol;isin;date;open_value;high_value;low_value;last_value;change_prev_close_percentage;turnover
XZAG;CBX;HRZB00ICBEX6;18.6.2025;3496,02;3509,15;3484,54;3506,25;0,29;4545583,62
XZAG;CBX;HRZB00ICBEX6;17.6.2025;3497,85;3498,05;3485,24;3496,02;-0,05;1371714,08
XZAG;CBX;HRZB00ICBEX6;16.6.2025;3460,35;3497,85;3458,5;3497,85;1,08;1567641,12
XZAG;CBX;HRZB00ICBEX6;13.6.2025;3490,26;3493,56;3459,97;3460,52;-0,85;1818935,57
XZAG;CBX;HRZB00ICBEX6;12.6.2025;3493,79;3493,79;3477,53;3490,26;-0,1;1189989,33
XZAG;CBX;HRZB00ICBEX6;11.6.2025;3495,33;3501,58;3492,48;3493,79;-0,08;807835,01
XZAG;CBX;HRZB00ICBEX6;10.6.2025;3480,31;3496,74;3479,31;3496,74;0,47;1493747,26
XZAG;CBX;HRZB00ICBEX6;9.6.2025;3494,94;3494,94;3471,64;3480,52;-0,45;947658,56
XZAG;CBX;HRZB00ICBEX6;6.6.2025;3479,07;3496,08;3473,6;3496,08;0,24;1620228,25
XZAG;CBX;HRZB00ICBEX6;5.6.2025;3494;3494,43;3484,9;3487,61;-0,18;705786,68
XZAG;CBX;HRZB00ICBEX6;4.6.2025;3496,13;3504,05;3488,49;3494;-0,06;1939515,69
XZAG;CBX;HRZB00ICBEX6;3.6.2025;3471,43;3496,13;3471,43;3496,13;0,72;948802,68
XZAG;CBX;HRZB00ICBEX6;2.6.2025;3456,06;3475,17;3452,31;3471,15;0,35;1796335,98
XZAG;CBX;HRZB00ICBEX6;29.5.2025;3457,92;3468,66;3454,15;3459,17;0,04;1331857,18
XZAG;CBX;HRZB00ICBEX6;28.5.2025;3466,6;3470,42;3457,35;3457,92;-0,22;1062537,99
XZAG;CBX;HRZB00ICBEX6;27.5.2025;3446,82;3466,75;3444,75;3465,49;0,55;667135,38
XZAG;CBX;HRZB00ICBEX6;26.5.2025;3390,7;3455,28;3382,44;3446,49;1,68;1833171,07
XZAG;CBX;HRZB00ICBEX6;23.5.2025;3464,52;3467,34;3380,26;3389,59;-2,2;3264155,74
XZAG;CBX;HRZB00ICBEX6;22.5.2025;3456,8;3474,64;3456,8;3465,74;0,33;983153,18
XZAG;CBX;HRZB00ICBEX6;21.5.2025;3474,3;3475,45;3454,19;3454,19;-0,59;1106154,43
XZAG;CBX;HRZB00ICBEX6;20.5.2025;3481,82;3488,42;3464,24;3474,58;-0,19;1902819,77
XZAG;CBX;HRZB00ICBEX6;19.5.2025;3479,59;3496,88;3476,9;3481,04;0,04;2299342,52
XZAG;CBX;HRZB00ICBEX6;16.5.2025;3455,83;3492,82;3455,83;3479,59;0,73;2435675,83
XZAG;CBX;HRZB00ICBEX6;15.5.2025;3424,8;3454,52;3423,12;3454,52;0,88;1714184,37
XZAG;CBX;HRZB00ICBEX6;14.5.2025;3423,75;3433,5;3415,5;3424,49;0,06;2149175,58
XZAG;CBX;HRZB00ICBEX6;13.5.2025;3410,34;3433,76;3408,07;3422,44;0,35;1874321,85
XZAG;CBX;HRZB00ICBEX6;12.5.2025;3380,9;3413,86;3380,9;3410,34;0,87;2731775,94
XZAG;CBX;HRZB00ICBEX6;9.5.2025;3362,41;3383,35;3362,41;3380,9;0,55;1079482,46
XZAG;CBX;HRZB00ICBEX6;8.5.2025;3337,94;3365,18;3337,94;3362,41;0,77;1221223,99
